id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2019-05-19 03:42:28.353254,,,,,,f,,{},participant,96ae5c0e332d88912f02ddfa6e37e0df,mturk,1,3L6L49WXW3IAWF2TPGLEJ5PSQBD54F,1:3L6L49WXW3IAWF2TPGLEJ5PSQBD54F,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,,,,working
2,2019-05-19 06:30:30.187893,,,,,,f,,{},participant,54b382a0c0992697133b577723f4aef4,mturk,2,3SB4CE2TJYGY0N2K4NE0OR2CBKXXA6,2:3SB4CE2TJYGY0N2K4NE0OR2CBKXXA6,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 06:54:17.662112,,,working
3,2019-05-19 08:16:48.613098,,,,,,f,,{},participant,a63da6f2453a15def70ec0211fa18c56,mturk,3,3SPJ033424OY1LVY3PDF04C43ESJYN,3:3SPJ033424OY1LVY3PDF04C43ESJYN,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 08:26:34.293114,,,working
4,2019-05-19 08:39:18.808188,,,,,,f,,{},participant,b3c0bb8aa5ce8721bef8e621eadebd1d,mturk,4,3DR23U6WE8ZU9JACFIFPV77XJ4GETA,4:3DR23U6WE8ZU9JACFIFPV77XJ4GETA,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 08:50:04.916731,,,working
5,2019-05-19 10:11:34.151955,,,,,,f,,{},participant,22aa3f75bbea2a3c1a0b2301ecbb966b,mturk,5,3Z4XG4ZF4BCKHZ957PUMS0WHLXN8X5,5:3Z4XG4ZF4BCKHZ957PUMS0WHLXN8X5,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 10:27:39.786425,,,working
6,2019-05-19 10:33:27.357212,,,,,,f,,{},participant,1c58e41c44fbf4009c07904df99408e1,mturk,6,3VE8AYVF8PI3HDIK7VO0MTWAHSSF8M,6:3VE8AYVF8PI3HDIK7VO0MTWAHSSF8M,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 10:38:08.321037,,,working
7,2019-05-19 10:50:35.226723,,,,,,f,,{},participant,5b903f7d3fc963a92e970293520a931d,mturk,7,3FE2ERCCZ0TITIUUSF91V90EY3JPO2,7:3FE2ERCCZ0TITIUUSF91V90EY3JPO2,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 10:54:12.103289,,,working
8,2019-05-19 13:09:09.268649,,,,,,f,,{},participant,147ab21997b438ee0ad7f0871db416c6,mturk,8,32VNZTT0AAPZ120RMNYHM6UOIUKR4Z,8:32VNZTT0AAPZ120RMNYHM6UOIUKR4Z,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 13:11:33.849193,,,working
9,2019-05-19 13:21:17.404425,,,,,,f,,{},participant,5a1ad0aa04993a4fbc19ea0292c72547,mturk,9,3EJPLAJKEP1MIGQWFSL957G1N3E6ZZ,9:3EJPLAJKEP1MIGQWFSL957G1N3E6ZZ,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 13:28:56.202681,,,working
10,2019-05-19 15:03:13.381688,,,,,,f,,{},participant,839398091b4ea7068015362b8b9d7da6,mturk,10,3NQL1CS15UT7SGVSKERY3SNYY2CYV2,10:3NQL1CS15UT7SGVSKERY3SNYY2CYV2,38EHZ67RIODLTIIPMEZZLC2V7FMMGH,live,2019-05-19 15:06:30.45751,,,working
