id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-05-19 03:42:35.642586,,,,,,f,,{},1,1,1,2,1,2019-05-19 03:42:35.673992,received
2,2019-05-19 03:42:35.667711,,,,,,f,,{},1,2,1,2,1,2019-05-19 03:42:35.67403,received
4,2019-05-19 06:30:31.637906,,,,,,f,,{},1,4,1,2,1,,pending
3,2019-05-19 06:30:31.613659,,,,,,f,,{},2,3,1,3,1,2019-05-19 06:30:31.644637,received
5,2019-05-19 06:30:31.640109,,,,,,f,,{},2,4,1,3,1,2019-05-19 06:30:31.644659,received
6,2019-05-19 08:16:57.320111,,,,,,f,,{},3,5,3,4,1,2019-05-19 08:16:57.351793,received
7,2019-05-19 08:39:24.898392,,,,,,f,,{},5,5,3,5,1,2019-05-19 08:39:24.937446,received
8,2019-05-19 10:11:42.829113,,,,,,f,,{},7,7,5,6,1,2019-05-19 10:11:42.88057,received
9,2019-05-19 10:11:42.849525,,,,,,f,,{},8,6,4,6,1,2019-05-19 10:11:42.880597,received
10,2019-05-19 10:11:42.873087,,,,,,f,,{},8,6,4,6,1,2019-05-19 10:11:42.880613,received
13,2019-05-19 10:33:32.483211,,,,,,f,,{},8,6,4,6,1,,pending
11,2019-05-19 10:33:32.437006,,,,,,f,,{},9,7,5,7,1,2019-05-19 10:33:32.491573,received
12,2019-05-19 10:33:32.459025,,,,,,f,,{},10,6,4,7,1,2019-05-19 10:33:32.4916,received
14,2019-05-19 10:33:32.485613,,,,,,f,,{},10,6,4,7,1,2019-05-19 10:33:32.491615,received
15,2019-05-19 10:50:39.649085,,,,,,f,,{},11,9,7,8,1,2019-05-19 10:50:39.789475,received
16,2019-05-19 10:50:39.68444,,,,,,f,,{},12,8,6,8,1,2019-05-19 10:50:39.789525,received
17,2019-05-19 10:50:39.778651,,,,,,f,,{},12,8,6,8,1,2019-05-19 10:50:39.789561,received
21,2019-05-19 13:09:14.056294,,,,,,f,,{},12,8,6,8,1,,pending
18,2019-05-19 13:09:14.007971,,,,,,f,,{},13,9,7,9,1,2019-05-19 13:09:14.062258,received
19,2019-05-19 13:09:14.028385,,,,,,f,,{},14,8,6,9,1,2019-05-19 13:09:14.0623,received
20,2019-05-19 13:09:14.054679,,,,,,f,,{},14,8,6,9,1,2019-05-19 13:09:14.062333,received
22,2019-05-19 13:21:22.231583,,,,,,f,,{},15,11,9,10,1,2019-05-19 13:21:22.297517,received
23,2019-05-19 13:21:22.255175,,,,,,f,,{},16,10,8,10,1,2019-05-19 13:21:22.297541,received
24,2019-05-19 13:21:22.288818,,,,,,f,,{},16,10,8,10,1,2019-05-19 13:21:22.297556,received
27,2019-05-19 15:03:17.287138,,,,,,f,,{},16,10,8,10,1,,pending
25,2019-05-19 15:03:17.230835,,,,,,f,,{},17,11,9,11,1,2019-05-19 15:03:17.295165,received
26,2019-05-19 15:03:17.255844,,,,,,f,,{},18,10,8,11,1,2019-05-19 15:03:17.295204,received
28,2019-05-19 15:03:17.289093,,,,,,f,,{},18,10,8,11,1,2019-05-19 15:03:17.295222,received
