id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-05-19 22:12:56.005828,,,,,,f,,{},1,1,1,2,1,2019-05-19 22:12:56.03693,received
2,2019-05-19 22:12:56.031301,,,,,,f,,{},1,2,1,2,1,2019-05-19 22:12:56.036954,received
3,2019-05-19 23:22:54.001613,,,,,,f,,{},2,3,2,3,1,2019-05-19 23:22:54.043151,received
4,2019-05-19 23:22:54.031621,,,,,,f,,{},2,3,2,3,1,2019-05-19 23:22:54.043208,received
5,2019-05-20 00:04:29.944864,,,,,,t,2019-05-20 00:28:51.377504,{},3,4,3,4,1,2019-05-20 00:04:30.019555,received
6,2019-05-20 00:04:30.009329,,,,,,t,2019-05-20 00:28:51.377479,{},3,4,3,4,1,2019-05-20 00:04:30.026037,received
7,2019-05-20 00:28:52.590128,,,,,,t,2019-05-20 01:30:51.002509,{},4,4,3,5,1,2019-05-20 00:28:52.660102,received
8,2019-05-20 00:28:52.648563,,,,,,t,2019-05-20 01:30:51.002412,{},4,4,3,5,1,2019-05-20 00:28:52.660149,received
9,2019-05-20 01:30:57.624863,,,,,,f,,{},5,4,3,6,1,2019-05-20 01:30:57.657914,received
10,2019-05-20 01:30:57.651983,,,,,,f,,{},5,4,3,6,1,2019-05-20 01:30:57.657945,received
11,2019-05-20 11:35:59.087994,,,,,,f,,{},6,5,6,7,1,2019-05-20 11:35:59.141592,received
12,2019-05-20 11:35:59.132667,,,,,,f,,{},6,5,6,7,1,2019-05-20 11:35:59.14164,received
13,2019-05-20 11:50:19.035338,,,,,,f,,{},7,6,7,8,1,2019-05-20 11:50:19.092462,received
14,2019-05-20 11:50:19.080023,,,,,,f,,{},7,6,7,8,1,2019-05-20 11:50:19.092515,received
